     tim; pos; vol; res; sPs; tur; rat; amp; pow; eAd; eDm; eFl; sNw; sKh; 
   11.57; 4; 740; 0.28; 18.198; 39.583; 0.202; 533.86; 395054.18; 351598.22; 0.0; 5558792.582; 18.217; 65.581; 
   11.60; 4; 740; 0.28; 18.217; 39.624; 0.202; 533.86; 395054.18; 351598.22; 0.0; 5570512.523; 18.236; 65.65; 
   11.63; 4; 740; 0.28; 18.236; 39.665; 0.201; 531.21; 393098.36; 349857.54; 0.0; 5582174.441; 18.256; 65.722; 
   11.67; 4; 740; 0.28; 18.256; 39.709; 0.201; 531.21; 393098.36; 349857.54; 0.0; 5593836.359; 18.275; 65.79; 
   11.70; 4; 740; 0.28; 18.275; 39.75; 0.201; 531.21; 393098.36; 349857.54; 0.0; 5605498.277; 18.294; 65.858; 
   11.73; 4; 740; 0.28; 18.294; 39.792; 0.201; 531.21; 393098.36; 349857.54; 0.0; 5617160.195; 18.313; 65.927; 
   11.77; 4; 740; 0.28; 18.313; 39.833; 0.201; 531.21; 393098.36; 349857.54; 0.0; 5628822.113; 18.332; 65.995; 
   11.80; 4; 740; 0.28; 18.332; 39.874; 0.201; 531.21; 393098.36; 349857.54; 0.0; 5640484.031; 18.351; 66.064; 
   11.83; 4; 740; 0.28; 18.351; 39.916; 0.2; 528.57; 391142.54; 348116.861; 0.0; 5652087.926; 18.369; 66.128; 
   11.87; 4; 740; 0.28; 18.369; 39.955; 0.2; 528.57; 391142.54; 348116.861; 0.0; 5663691.821; 18.388; 66.197; 
   11.90; 4; 740; 0.28; 18.388; 39.996; 0.2; 528.57; 391142.54; 348116.861; 0.0; 5675295.716; 18.407; 66.265; 
   11.93; 4; 740; 0.28; 18.407; 40.037; 0.2; 528.57; 391142.54; 348116.861; 0.0; 5686899.611; 18.426; 66.334; 
   11.97; 4; 740; 0.28; 18.426; 40.079; 0.2; 528.57; 391142.54; 348116.861; 0.0; 5698503.506; 18.445; 66.402; 
   12.00; 4; 740; 0.28; 18.445; 40.12; 0.2; 528.57; 391142.54; 348116.861; 0.0; 5710107.401; 18.464; 66.47; 
   12.03; 4; 740; 0.28; 18.464; 40.161; 0.199; 525.93; 389187.46; 346376.839; 0.0; 5721653.296; 18.482; 66.535; 
   12.07; 4; 740; 0.28; 18.482; 40.201; 0.199; 525.93; 389187.46; 346376.839; 0.0; 5733199.191; 18.501; 66.604; 
   12.10; 4; 740; 0.28; 18.501; 40.242; 0.199; 525.93; 389187.46; 346376.839; 0.0; 5744745.086; 18.519; 66.668; 
   12.13; 4; 740; 0.28; 18.519; 40.281; 0.199; 525.93; 389187.46; 346376.839; 0.0; 5756290.981; 18.538; 66.737; 
   12.17; 4; 740; 0.28; 18.538; 40.322; 0.199; 525.93; 389187.46; 346376.839; 0.0; 5767836.876; 18.557; 66.805; 
   12.20; 4; 740; 0.28; 18.557; 40.364; 0.199; 525.93; 389187.46; 346376.839; 0.0; 5779382.771; 18.575; 66.87; 
   12.23; 4; 740; 0.28; 18.575; 40.403; 0.198; 523.29; 387231.64; 344636.16; 0.0; 5790870.643; 18.594; 66.938; 
